id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
746918436835549556,Rental unit in Albany · ★4.61 · 1 bedroom · 1 bed · 1 bath,485300126,John,,THIRD WARD,42.65755,-73.75637,Entire home/apt,62,1,62,6/30/2023,7.56,3,356,62,
750748704706045644,Rental unit in Albany · ★4.88 · 2 bedrooms · 2 beds · 1 bath,255839958,Kira,,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,132,1,8,5/28/2023,1.09,1,321,8,
751421033442627559,Rental unit in Albany · ★4.86 · 2 bedrooms · 2 beds · 1 bath,486073806,Keneisha,,FIFTH WARD,42.66648,-73.76831,Entire home/apt,114,2,7,5/21/2023,1.56,1,326,7,
752118894541630543,Condo in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,258664571,Vorakij,,SECOND WARD,42.64439384900326,-73.75975702,Entire home/apt,137,2,11,6/12/2023,2.58,2,349,11,
752337379205662422,Condo in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,258664571,Vorakij,,SECOND WARD,42.6444412,-73.7597141,Entire home/apt,148,2,9,6/24/2023,3.42,2,346,9,
756752556396798800,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,69729286,Musab,,SIXTH WARD,42.65259,-73.76732,Private room,50,3,7,6/6/2023,1.14,2,124,7,
757342235277207834,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,75,2,5,6/24/2023,0.68,8,343,5,
757978037279611051,Rental unit in Albany · ★5.0 · 2 bedrooms · 2 beds · 1 bath,232967878,Diana,,THIRTEENTH WARD,42.67348,-73.7934,Entire home/apt,120,2,11,6/18/2023,2.56,19,69,11,
761141715827746314,Rental unit in Albany · ★4.92 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,SIXTH WARD,42.65405,-73.76953,Entire home/apt,121,1,12,3/25/2023,1.81,7,326,12,
764508866835218670,Home in Albany · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,6203319,Melissa,,TENTH WARD,42.66117,-73.79091,Private room,63,1,4,6/17/2023,0.56,2,59,4,
771729605341763136,Rental unit in Albany · ★4.10 · 1 bedroom · 1 bed · 1 bath,155027597,Hilrow,,SECOND WARD,42.64755,-73.75842,Entire home/apt,115,1,20,5/14/2023,2.83,1,0,20,
774701102203414342,Home in Albany · ★4.95 · 1 bedroom · 1 bed · 1 bath,261036923,Hasan,,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,70,1,21,6/28/2023,3.42,1,214,21,
775645647912379518,Home in Albany · ★4.88 · 2 bedrooms · 2 beds · 2 baths,115597810,Massi,,SIXTH WARD,42.6518469,-73.7642072,Entire home/apt,139,2,17,6/16/2023,2.73,1,163,17,
777068997424722137,Rental unit in Albany · ★4.81 · 1 bedroom · 1 bed · 1 bath,442094566,Queen,,THIRD WARD,42.65725,-73.75065,Entire home/apt,120,1,16,6/25/2023,2.61,1,355,16,
778175939353231150,Bed and breakfast in Albany · 1 bedroom · 2 beds · 1 private bath,19648678,Terra,,NINTH WARD,42.65664,-73.77556,Private room,150,1,1,6/13/2023,1,11,167,1,
778188747833047454,Bed and breakfast in Albany · 1 bedroom · 1 bed · 1 private bath,19648678,Terra,,NINTH WARD,42.65561,-73.77613,Private room,150,1,1,4/16/2023,0.38,11,176,1,
782849454465952994,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,491607190,Abba,,SIXTH WARD,42.65183,-73.76594,Entire home/apt,98,1,4,3/19/2023,0.66,2,74,4,
784781397995494758,Home in Albany · ★4.57 · 1 bedroom · 1 bed · 1 private bath,491907850,Donna,,FOURTEENTH WARD,42.66298,-73.81361,Private room,60,1,7,6/25/2023,1.51,1,75,7,
786181179052991690,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,188679144,Elizabeth,,THIRD WARD,42.65653,-73.76223,Entire home/apt,74,1,0,,,8,326,0,
786196811078165173,Home in Albany · ★4.25 · 6 bedrooms · 5 beds · 3 baths,444163492,Drasana,,FOURTH WARD,42.67996,-73.75352,Entire home/apt,899,2,4,6/11/2023,0.91,2,340,4,
786228331433922432,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,188679144,Elizabeth,,SIXTH WARD,42.65322,-73.76249,Entire home/apt,90,7,0,,,8,343,0,
786316043239579100,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,253824490,Tomar & Kash,,FIFTH WARD,42.65915031,-73.75431933,Entire home/apt,95,2,15,6/17/2023,2.98,1,175,15,
787023821243442039,Home in Albany · ★5.0 · 3 bedrooms · 4 beds · 2 baths,349460842,Scott,,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,222,1,3,6/30/2023,0.71,5,345,3,
788301415655396660,Rental unit in Albany · ★4.84 · 2 bedrooms · 2 beds · 1.5 baths,232967878,Diana,,SECOND WARD,42.64324,-73.75732,Entire home/apt,150,1,19,6/18/2023,3.1,19,83,19,
793223286704705121,Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 bath,462767507,Joshua,,SIXTH WARD,42.65489,-73.77061,Entire home/apt,102,3,3,4/20/2023,0.63,2,331,3,
